Student_ID,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,SUM
b05203052,0,0,0,0,0,0,0,0,0,0
b08208030,0,0,0,0,0,0,0,0,0,0
b08208032,0,0,0,0,0,0,0,0,0,0
b06401099,0,0,0,0,0,0,0,0,0,0
b08502117,0,0,0,0,0,0,0,0,0,0
b08902006,0,0,0,0,0,0,0,0,0,0
b08902014,0,0,0,0,0,0,0,0,0,0
b08902016,0,0,0,0,0,0,0,0,0,0
b08902018,0,0,0,0,0,0,0,0,0,0
b08902020,0,0,0,0,0,0,0,0,0,0
b08902024,0,1,0,0,0,0,0,0,0,1
b08902026,0,0,0,0,0,0,0,0,0,0
b08902028,0,0,0,0,0,0,0,0,0,0
b08902032,0,0,0,0,0,0,0,0,0,0
b08902038,0,0,0,0,0,0,0,0,0,0
b08902042,0,0,0,0,0,0,0,0,0,0
b08902044,0,0,0,0,0,0,0,0,0,0
b08902050,0,0,0,0,0,0,0,0,0,0
b08902052,0,0,0,0,0,0,0,0,0,0
b08902054,0,0,0,0,0,0,0,0,0,0
b08902056,0,0,0,0,0,0,0,0,0,0
b08902058,0,0,0,0,0,0,0,0,0,0
b08902060,0,0,0,0,0,0,0,0,0,0
b08902066,0,0,0,0,0,0,0,0,0,0
b08902068,0,0,0,0,0,0,0,0,0,0
b08902070,0,0,0,0,0,0,0,0,0,0
b08902074,0,0,0,0,0,0,0,0,0,0
b08902076,0,0,0,0,0,0,0,0,0,0
b08902078,0,0,0,0,0,0,0,0,0,0
b08902080,0,0,0,0,0,0,0,0,0,0
b08902082,0,0,0,0,0,0,0,0,0,0
b08902088,0,0,0,0,0,0,0,0,0,0
b08902090,0,0,0,0,0,0,0,0,0,0
b08902098,0,0,0,0,0,0,0,0,0,0
b08902100,0,0,0,0,0,0,0,0,0,0
b08902104,0,0,0,0,0,0,0,0,0,0
b08902110,0,0,0,0,0,0,0,0,0,0
b08902114,1,0,0,0,0,0,0,0,0,1
b08902124,0,0,0,0,0,0,0,0,0,0
b08902126,0,0,0,0,0,0,0,0,0,0
b08902128,0,0,0,0,0,0,0,0,0,0
b08902130,0,0,0,0,0,0,0,0,0,0
b08902132,0,0,0,0,0,0,0,0,0,0
b08902134,0,0,0,0,0,0,0,0,0,0
b08902136,0,0,0,0,0,0,0,0,0,0
b08902140,0,0,0,0,0,0,0,0,0,0
b08902142,0,0,0,0,0,0,0,0,0,0
b08902144,0,0,0,0,0,0,0,0,0,0
